CALENDAR_C;HOLIDAY_D;GLOBAL_F
JPY       ;2012-05-04;0
JPY       ;2012-05-05;0
JPY       ;2012-07-16;0
JPY       ;2012-09-17;0
JPY       ;2012-09-22;0
JPY       ;2012-10-08;0
JPY       ;2012-11-03;0
JPY       ;2012-11-23;0
JPY       ;2012-12-23;0
JPY       ;2012-12-24;0
JPY       ;2012-12-31;0
JPY       ;2013-01-01;0
JPY       ;2013-01-02;0
JPY       ;2013-01-03;0
JPY       ;2013-01-14;0
JPY       ;2013-02-11;0
JPY       ;2013-03-20;0
JPY       ;2013-04-29;0
JPY       ;2013-05-03;0
JPY       ;2013-05-04;0
JPY       ;2013-05-05;0
JPY       ;2013-05-06;0
JPY       ;2013-07-15;0
JPY       ;2013-09-16;0
JPY       ;2013-09-23;0
JPY       ;2013-10-14;0
JPY       ;2013-11-03;0
JPY       ;2013-11-04;0
JPY       ;2013-11-23;0
JPY       ;2013-12-23;0
JPY       ;2013-12-31;0
JPY       ;2014-01-01;0
JPY       ;2014-01-02;0
JPY       ;2014-01-03;0
JPY       ;2014-01-13;0
JPY       ;2014-02-11;0
JPY       ;2014-03-21;0
JPY       ;2014-04-29;0
JPY       ;2014-05-03;0
JPY       ;2014-05-04;0
JPY       ;2014-05-05;0
JPY       ;2014-05-06;0
JPY       ;2014-07-21;0
JPY       ;2014-09-15;0
JPY       ;2014-09-23;0
JPY       ;2014-10-13;0
JPY       ;2014-11-03;0
JPY       ;2014-11-23;0
JPY       ;2014-11-24;0
JPY       ;2014-12-23;0
JPY       ;2014-12-31;0
JPY       ;2015-01-01;0
JPY       ;2015-01-02;0
JPY       ;2015-01-03;0
JPY       ;2015-01-12;0
JPY       ;2015-02-11;0
JPY       ;2015-03-21;0
JPY       ;2015-04-29;0
JPY       ;2015-05-03;0
JPY       ;2015-05-04;0
JPY       ;2015-05-05;0
JPY       ;2015-05-06;0
JPY       ;2015-07-20;0
JPY       ;2015-09-21;0
JPY       ;2015-09-22;0
JPY       ;2015-09-23;0
JPY       ;2015-10-12;0
JPY       ;2015-11-03;0
JPY       ;2015-11-23;0
JPY       ;2015-12-23;0
JPY       ;2015-12-31;0
JPY       ;2016-01-01;0
JPY       ;2016-01-02;0
JPY       ;2016-01-03;0
JPY       ;2016-01-11;0
JPY       ;2016-02-11;0
JPY       ;2016-03-20;0
JPY       ;2016-03-21;0
JPY       ;2016-04-29;0
JPY       ;2016-05-03;0
JPY       ;2016-05-04;0
JPY       ;2016-05-05;0
JPY       ;2016-07-18;0
JPY       ;2016-08-11;0
JPY       ;2016-09-19;0
JPY       ;2016-09-22;0
JPY       ;2016-10-10;0
JPY       ;2016-11-03;0
JPY       ;2016-11-23;0
JPY       ;2016-12-23;0
JPY       ;2016-12-31;0
JPY       ;2017-01-01;0
JPY       ;2017-01-02;0
JPY       ;2017-01-03;0
JPY       ;2017-01-09;0
JPY       ;2017-02-11;0
JPY       ;2017-03-20;0
JPY       ;2017-04-29;0
JPY       ;2017-05-03;0
JPY       ;2017-05-04;0
JPY       ;2017-05-05;0
JPY       ;2017-07-17;0
JPY       ;2017-08-11;0
JPY       ;2017-09-18;0
JPY       ;2017-09-23;0
JPY       ;2017-10-09;0
JPY       ;2017-11-03;0
JPY       ;2017-11-23;0
JPY       ;2017-12-23;0
JPY       ;2017-12-31;0
JPY       ;2018-01-01;0
JPY       ;2018-01-02;0
JPY       ;2018-01-03;0
JPY       ;2018-01-08;0
JPY       ;2018-02-11;0
JPY       ;2018-02-12;0
JPY       ;2018-03-21;0
JPY       ;2018-04-29;0
JPY       ;2018-04-30;0
JPY       ;2018-05-03;0
JPY       ;2018-05-04;0
JPY       ;2018-05-05;0
JPY       ;2018-07-16;0
JPY       ;2018-08-11;0
JPY       ;2018-09-17;0
JPY       ;2018-09-23;0
JPY       ;2018-09-24;0
JPY       ;2018-10-08;0
JPY       ;2018-11-03;0
JPY       ;2018-11-23;0
JPY       ;2018-12-23;0
JPY       ;2018-12-24;0
JPY       ;2018-12-31;0
JPY       ;2019-01-01;0
JPY       ;2019-01-02;0
JPY       ;2019-01-03;0
JPY       ;2019-01-14;0
JPY       ;2019-02-11;0
JPY       ;2019-03-21;0
JPY       ;2019-04-29;0
JPY       ;2019-04-30;0
JPY       ;2019-05-01;0
JPY       ;2019-05-02;0
JPY       ;2019-05-03;0
JPY       ;2019-05-04;0
JPY       ;2019-05-05;0
JPY       ;2019-05-06;0
JPY       ;2019-07-15;0
JPY       ;2019-08-11;0
JPY       ;2019-08-12;0
JPY       ;2019-09-16;0
JPY       ;2019-09-23;0
JPY       ;2019-10-14;0
JPY       ;2019-10-22;0
JPY       ;2019-11-03;0
JPY       ;2019-11-04;0
JPY       ;2019-11-23;0
JPY       ;2019-12-31;0
JPY       ;2020-01-01;0
JPY       ;2020-01-02;0
JPY       ;2020-01-03;0
JPY       ;2020-01-13;0
JPY       ;2020-02-11;0
JPY       ;2020-02-24;0
JPY       ;2020-03-20;0
JPY       ;2020-04-29;0
JPY       ;2020-05-04;0
JPY       ;2020-05-05;0
JPY       ;2020-05-06;0
JPY       ;2020-07-23;0
JPY       ;2020-07-24;0
JPY       ;2020-08-10;0
JPY       ;2020-09-21;0
JPY       ;2020-09-22;0
JPY       ;2020-11-03;0
JPY       ;2020-11-23;0
JPY       ;2020-12-31;0
JPY       ;2021-01-01;0
JPY       ;2021-01-11;0
JPY       ;2021-02-11;0
JPY       ;2021-02-23;0
JPY       ;2021-04-29;0
JPY       ;2021-05-03;0
JPY       ;2021-05-04;0
JPY       ;2021-05-05;0
JPY       ;2021-07-22;0
JPY       ;2021-07-23;0
JPY       ;2021-08-09;0
JPY       ;2021-09-20;0
JPY       ;2021-09-23;0
JPY       ;2021-11-03;0
JPY       ;2021-11-23;0
JPY       ;2021-12-31;0
JPY       ;2022-01-01;0
JPY       ;2022-01-02;0
JPY       ;2022-01-03;0
JPY       ;2022-01-10;0
JPY       ;2022-02-11;0
JPY       ;2022-03-21;0
JPY       ;2022-04-29;0
JPY       ;2022-05-03;0
JPY       ;2022-05-04;0
JPY       ;2022-05-05;0
JPY       ;2022-07-18;0
JPY       ;2022-08-11;0
